Label,Average Freq,Average ER
1,3.68E-06,0.119332822
1,4.16E-06,-0.147773639
1,4.17E-06,1.379567777
1,3.66E-06,-1.385572057
1,3.68E-06,-0.547333845
1,2.59E-06,-0.685679678
1,4.36E-06,0.699390444
1,4.18E-06,-1.122537651
1,1.05E-06,0.199390444
1,3.67E-06,-0.330056401
1,3.67E-06,0.991871694
1,2.59E-06,-0.352346345
1,4.18E-06,#DIV/0!
1,3.67E-06,0.160272644
1,3.67E-06,0.160272644
1,3.67E-06,0.186351177
1,4.13E-06,1.318289653
1,3.70E-06,1.314320322
1,2.58E-06,0.710049801
1,1.68E-06,-0.300609556
1,1.58E-06,0.186351177
1,2.68E-06,0.360354491
1,3.71E-06,1.088296354
1,2.49E-06,-0.093090806
1,3.71E-06,0.36498802
1,4.10E-06,1.293660542
1,2.49E-06,1.491871694
1,3.71E-06,-1.040782423
1,2.56E-06,0.893308853
1,1.68E-06,-0.300609556
1,4.10E-06,0.099701592
1,1.68E-06,0.699390444
